pages,articles,edits,images,users,activeusers,admins,jobs,cirrussearch-article-words,queued-massmessages,language
509,0,4685,0,4065,2,1,0,0,0,aa
21693,6036,123447,9,18636,26,2,0,231304,0,ab
377889,106993,2560061,9645,159756,159,13,0,37245115,0,af
2516,610,29739,0,13467,24,1,0,171122,0,ak
46102,15182,374955,1777,42343,57,1,0,1845079,0,am
133149,43587,1901155,1550,71411,73,6,0,8287331,0,an
8038785,1202661,61467248,51491,2392797,4711,20,0,383167808,0,ar
76827,11257,348461,1752,36687,102,5,0,6820906,0,as
15817,3329,86544,0,13991,23,2,0,660838,0,av
8644,5034,95926,0,15909,15,1,0,448694,0,ay
527127,192694,6918611,19940,265252,779,15,0,59639689,0,az
174831,62220,1223742,1493,37288,91,7,0,26571735,0,ba
663853,229475,4369304,3279,127446,298,11,0,54531458,0,be
644028,289274,11695640,484,321878,736,25,0,105604351,0,bg
71743,8266,737239,53,31651,52,2,0,1387353,0,bh
3330,1407,42420,0,12610,12,2,0,43287,0,bi
3168,789,40725,0,10297,11,2,0,65750,0,bm
1151339,135823,6540779,16505,411789,1552,13,0,64921938,0,bn
17879,6250,140911,0,27657,33,1,0,10523907,0,bo
149126,78561,2037006,5316,73126,80,6,0,13244439,0,br
371037,91564,3478839,5480,150127,175,9,0,35478788,0,bs
1806206,723426,31354028,14513,444171,1313,30,0,343871385,0,ca
1149386,561477,9496735,319,33021,63,3,0,79128214,0,ce
2511,546,23299,0,15018,21,1,0,23263,0,ch
15191,6519,383781,0,20862,39,2,0,1211881,0,co
2200,167,38135,0,17668,26,2,0,2817,0,cr
1456449,520864,22506215,1,611563,2725,31,0,237078477,0,cs
5630,1193,83885,0,24048,22,2,0,71658,0,cu
102106,50849,784007,537,32479,50,2,0,6590961,0,cv
433952,278511,11712898,11290,78838,127,16,0,53180966,0,cy
921351,289834,11393338,0,450336,777,25,0,89394583,0,da
7678941,2781997,230286310,127342,4108005,18652,182,0,1484993505,0,de
11442,3024,130631,932,24103,21,4,0,785868,0,dv
2624,237,30143,0,9720,10,1,0,692976,0,dz
3577,812,54410,0,13852,26,3,0,110020,0,ee
645332,217832,9934571,18810,386154,1042,20,0,132917555,0,el
57755593,6630347,1139876686,897998,45187569,128880,910,0,4317453009,0,en
741762,332517,7941469,13376,206885,352,16,0,77620659,0,eo
