LICENSE TYPE,Time,Document Count
licenses/by/3.0,2009-1,40214
licenses/by/3.0,2009-3,23167
licenses/by/3.0,2009-5,50481
licenses/by/3.0,2009-7,29790
licenses/by/3.0,2009-9,46973
licenses/by/3.0,2009-11,46082
licenses/by/3.0,2010-1,64655
licenses/by/3.0,2010-3,52511
licenses/by/3.0,2010-5,60563
licenses/by/3.0,2010-7,115938
licenses/by/3.0,2010-9,80069
licenses/by/3.0,2010-11,125393
licenses/by/3.0,2011-1,108519
licenses/by/3.0,2011-3,175661
licenses/by/3.0,2011-5,178058
licenses/by/3.0,2011-7,287330
licenses/by/3.0,2011-9,238381
licenses/by/3.0,2011-11,403810
licenses/by/3.0,2012-1,324572
licenses/by/3.0,2012-3,476762
licenses/by/3.0,2012-5,313403
licenses/by/3.0,2012-7,437782
licenses/by/3.0,2012-9,332269
licenses/by/3.0,2012-11,312884
licenses/by/3.0,2013-1,502975
licenses/by/3.0,2013-3,316465
licenses/by/3.0,2013-5,562898
licenses/by/3.0,2013-7,471311
licenses/by/3.0,2013-9,711465
licenses/by/3.0,2013-11,483484
licenses/by/3.0,2014-1,665618
licenses/by/3.0,2014-3,540521
licenses/by/3.0,2014-5,851514
licenses/by/3.0,2014-7,617009
licenses/by/3.0,2014-9,718501
licenses/by/3.0,2014-11,655341
licenses/by/3.0,2015-1,719508
licenses/by/3.0,2015-3,1000000
licenses/by/3.0,2015-5,843320
licenses/by/3.0,2015-7,1000000
licenses/by/3.0,2015-9,902237
licenses/by/3.0,2015-11,1000000
licenses/by/3.0,2016-1,985137
licenses/by/3.0,2016-3,1000000
licenses/by/3.0,2016-5,1000000
licenses/by/3.0,2016-7,1000000
licenses/by/3.0,2016-9,1000000
licenses/by/3.0,2016-11,1000000
licenses/by/3.0,2017-1,1000000
licenses/by/3.0,2017-3,1000000
licenses/by/3.0,2017-5,1000000
licenses/by/3.0,2017-7,1000000
licenses/by/3.0,2017-9,1000000
licenses/by/3.0,2017-11,1000000
licenses/by/3.0,2018-1,1000000
licenses/by/3.0,2018-3,1000000
licenses/by/3.0,2018-5,1000000
licenses/by/3.0,2018-7,1000000
licenses/by/3.0,2018-9,1000000
licenses/by/3.0,2018-11,1000000
licenses/by/3.0,2019-1,1000000
licenses/by/3.0,2019-3,1000000
licenses/by/3.0,2019-5,1000000
licenses/by/3.0,2019-7,1000000
licenses/by/3.0,2019-9,1000000
licenses/by/3.0,2019-11,1000000
licenses/by/3.0,2020-1,1000000
licenses/by/3.0,2020-3,1000000
licenses/by/3.0,2020-5,1000000
licenses/by/3.0,2020-7,1000000
licenses/by/3.0,2020-9,1000000
licenses/by/3.0,2020-11,1000000
licenses/by/3.0,2021-1,1000000
licenses/by/3.0,2021-3,1000000
licenses/by/3.0,2021-5,1000000
licenses/by/3.0,2021-7,1000000
licenses/by/3.0,2021-9,1000000
licenses/by/3.0,2021-11,1000000
licenses/by/3.0,2022-1,1000000
licenses/by/3.0,2022-3,1000000
licenses/by/3.0,2022-5,1000000
licenses/by/3.0,2022-7,1000000
licenses/by/3.0,2022-9,1000000
licenses/by/3.0,2022-11,987243
licenses/by/3.0,2023-1,1000000
licenses/by/3.0,2023-3,1000000
